crn,dept,course_id,instructor,title,modality,credits,capacity,days,start_time,end_time,location
85208,ENGR,ENGR 4064,BA Watford,Scieneering Capstone,F2F,3,0,(ARR),(ARR),(ARR),00X
85214,ENSC,ENSC 1015,MJ Eick,Found Environmental Sci,OnlineAsync,3,100,(ARR),(ARR),(ARR),00X
85215,ENSC,ENSC 3604,MK Steele,Fund Environ Science,F2F,3,130,T R,9:30AM,10:45AM,SMYTH 146
85216,ENSC,ENSC 3634,Staff,Physics of Pollution,F2F,3,40,T R,11:00AM,12:15PM,SMYTH 232
85217,ENSC,ENSC 3644,JL Reid,Plant for Envir Rest,F2F,3,26,W,1:25PM,4:25PM,SMYTH 246A
85218,ENSC,ENSC 4764,BD Badgley,Bioremediation,F2F,3,50,T R,2:00PM,3:15PM,NCB 250
85219,ENT,ENT 2004,JM Wilson,Insects and Human Society,F2F,3,72,M W F,11:15AM,12:05PM,NCB 270
85220,ENT,ENT 2804,MJ Couvillon,"Bees: Biol, Diversity, Sustain",F2F,3,30,T R,11:00AM,12:15PM,PRICE 221
85222,ENT,ENT 3014,P Marek,Insect Biology,F2F,2,50,T R,11:00AM,11:50AM,PRICE 220
85223,ENT,ENT 3024,P Marek,Insect Biology Laboratory,F2F,2,30,T,2:00PM,4:45PM,PRICE 221
85224,ENT,ENT 3024,P Marek,Insect Biology Laboratory,F2F,2,30,W,2:30PM,5:15PM,PRICE 221
85225,ENT,ENT 4264,K Miller,Pesticide Usage,F2F,3,30,M W,10:10AM,11:00AM,PRICE 220
91280,ENT,ENT 4484,S Entrekin,Freshwater Biomonitoring,F2F,4,20,T R,9:30AM,10:45AM,PRICE 220
85228,ENT,ENT 5004,MJ Couvillon,Graduate Seminar,F2F,1,30,R,3:00PM,4:00PM,PRICE 220
90530,ENT,ENT 5024,DM Miller,Urban & Structural Entomology,OnlineAsync,3,25,(ARR),(ARR),(ARR),00X
91275,ENT,ENT 5214,DG Pfeiffer,Arthropod Pest Mgmt,F2F,3,15,M W,9:05AM,9:55AM,PRICE 221
91447,ENT,ENT 6004,Staff,TS: Orientation & Tour,F2F,1,0,(ARR),(ARR),(ARR),00X
85237,ENT,ENT 6004,AD Gross,TS: Molecules Insect Phys Tox,OnlineAsync,1,20,(ARR),(ARR),(ARR),00X
85240,ESM,ESM 2104,Staff,Statics,F2F,3,50,M W F,1:25PM,2:15PM,WLH 350
85241,ESM,ESM 2104,Staff,Statics,F2F,3,50,T R,9:30AM,10:45AM,NCB 250
85242,ESM,ESM 2104,Staff,Statics,F2F,3,50,M W,4:00PM,5:15PM,WLH 350
85243,ESM,ESM 2104,Staff,Statics,F2F,3,50,M W,2:30PM,3:45PM,WLH 350
85244,ESM,ESM 2104,Staff,Statics,F2F,3,48,T R,12:30PM,1:45PM,WLH 335
85245,ESM,ESM 2104,Staff,Statics,F2F,3,50,M W F,12:20PM,1:10PM,AA 7
85246,ESM,ESM 2104,Staff,Statics,F2F,3,50,M W F,11:15AM,12:05PM,WLH 340
85247,ESM,ESM 2104,Staff,Statics,F2F,3,50,T R,2:00PM,3:15PM,WLH 340
85248,ESM,ESM 2104,Staff,Statics,F2F,3,50,M W F,10:10AM,11:00AM,WLH 350
85249,ESM,ESM 2104,Staff,Statics,OnlineAsync,3,50,(ARR),(ARR),(ARR),CTE
85250,ESM,ESM 2114,Staff,Statics & Structures,F2F,3,100,M W,2:30PM,3:45PM,SURGE 104B
85251,ESM,ESM 2114,Staff,Statics & Structures,F2F,3,100,M W F,12:20PM,1:10PM,SURGE 104B
85252,ESM,ESM 2114,Staff,Statics & Structures,OnlineAsync,3,0,(ARR),(ARR),(ARR),00X
85253,ESM,ESM 2204,Staff,Mechanics of Deformable Bodies,F2F,3,54,T R,3:30PM,4:45PM,WLH 340
85254,ESM,ESM 2204,Staff,Mechanics of Deformable Bodies,F2F,3,54,T R,12:30PM,1:45PM,SURGE 108A
85255,ESM,ESM 2204,Staff,Mechanics of Deformable Bodies,F2F,3,55,M W F,12:20PM,1:10PM,WLH 340
85256,ESM,ESM 2204,Staff,Mechanics of Deformable Bodies,F2F,3,48,M W F,9:05AM,9:55AM,TORG 1040
85257,ESM,ESM 2204,Staff,Mechanics of Deformable Bodies,OnlineAsync,3,50,(ARR),(ARR),(ARR),CTE
85258,ESM,ESM 2304,Staff,Dynamics,F2F,3,42,M W F,10:10AM,11:00AM,SURGE 108B
85259,ESM,ESM 2304,Staff,Dynamics,F2F,3,42,M W F,12:20PM,1:10PM,SURGE 108B
85260,ESM,ESM 2304,Staff,Dynamics,F2F,3,42,T R,2:00PM,3:15PM,SURGE 108B
85261,ESM,ESM 2304,Staff,Dynamics,OnlineAsync,3,50,(ARR),(ARR),(ARR),CTE
85264,ESM,ESM 3024,MA Stremler,Intro to Fluid Mechanics,F2F,3,75,M W F,8:00AM,8:50AM,WLH 340
85265,ESM,ESM 3054,B Aidi,Mech Behavior of Materials,F2F,3,60,M W F,12:20PM,1:10PM,NCB 230
85266,ESM,ESM 3064,CL Galitz,Mech Behavior Matls Lab,F2F,1,12,T,2:00PM,4:50PM,NOR 127
