crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
80172,ACIS-4654,Accounting Analytics,L,Face-to-Face Instruction,3,16,JL Shortt,T R,12:30PM,1:45PM,TORG 1010,12T
80173,ACIS-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80174,ACIS-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
80175,ACIS-5104,Fundamentals of Accounting,L,Face-to-Face Instruction,3,55,RS Hamilton,M W,4:00PM,5:15PM,AA 7,16M
80178,ACIS-5114G,Advanced Financial Accounting,L,Hybrid (F2F & Online Instruc.),3,10,DP Garner,M W,9:05AM,9:55AM,PAM 2028,09M
,,,,* Additional Times *,(ARR),----- (ARR) -----,ONLINE,,,,,
80179,ACIS-5114G,Advanced Financial Accounting,L,Hybrid (F2F & Online Instruc.),3,10,DP Garner,M W,10:10AM,11:00AM,PAM 3001,10M
,,,,* Additional Times *,(ARR),----- (ARR) -----,ONLINE,,,,,
80180,ACIS-5124,Govt & Nfp Acctg,L,Face-to-Face Instruction,3,2,DP Garner,M W,2:30PM,3:45PM,PAM 2028,14M
80181,ACIS-5124,Govt & Nfp Acctg,L,Face-to-Face Instruction,3,2,DP Garner,M W,4:00PM,5:15PM,PAM 2028,16M
80182,ACIS-5144,Financial Statements for Mgrs,ONLINE COURSE - VL,Online with Synchronous Mtgs.,2,40,DA Salbador,F S,----- (ARR) -----,ONLINE,00X,
80184,ACIS-5194,Financial Statement Analysis,L,Face-to-Face Instruction,3,15,AA Acito,T R,5:00PM,6:15PM,NCB 110B,17T
80185,ACIS-5194,Financial Statement Analysis,L,Face-to-Face Instruction,3,15,AA Acito,T R,3:30PM,4:45PM,NCB 110B,15T
80186,ACIS-5194,Financial Statement Analysis,L,Face-to-Face Instruction,3,15,AA Acito,T R,9:30AM,10:45AM,NCB 110A,09T
90644,ACIS-5314,Tax Concepts and Research,L,Face-to-Face Instruction,3,30,FF Galer,T R,9:30AM,10:45AM,PAM 2001,09T
80187,ACIS-5324,Taxation of Business Entities,L,Face-to-Face Instruction,3,40,DR Compton,T R,12:30PM,1:45PM,HUTCH 209,12T
80188,ACIS-5414,Adv. Financial Statement Audit,L,Face-to-Face Instruction,3,16,SE Stein,T R,8:00AM,9:15AM,NCB 130B,08T
80189,ACIS-5414,Adv. Financial Statement Audit,L,Face-to-Face Instruction,3,16,SE Stein,T R,9:30AM,10:45AM,NCB 130B,09T
